Date,Open,High,Low,Close,Volume
2024-05-30,190.68,192.07,190.66,191.01,6030000
2024-05-29,189.61,192.24,189.61,190.29,53070000
2024-05-28,191.51,193,189.1,189.99,52280000
2024-05-24,188.82,190.58,188.04,189.98,36330000
2024-05-23,190.98,191,186.62,186.88,51010000
2024-05-22,192.26,192.82,190.27,190.9,34650000
2024-05-21,191.09,192.73,190.92,192.35,42310000
2024-05-20,189.32,191.92,189.01,191.04,44360000
2024-05-17,189.51,190.81,189.18,189.87,41280000
2024-05-16,190.47,191.09,189.66,189.84,52850000
2024-05-15,187.91,190.65,187.37,189.72,70400000
2024-05-14,187.51,188.3,186.29,187.43,52390000
2024-05-13,185.44,187.1,184.62,186.28,72040000
2024-05-10,184.9,185.09,182.13,183.05,50760000
2024-05-09,182.56,184.66,182.11,184.57,48980000
2024-05-08,182.85,183.07,181.45,182.74,45060000
2024-05-07,183.45,184.9,181.32,182.4,77310000
2024-05-06,182.35,184.2,180.42,181.71,78570000
2024-05-03,186.65,187,182.66,183.38,163220000
2024-05-02,172.51,173.41,170.89,173.03,94210000
2024-05-01,169.58,172.71,169.11,169.3,50380000
2024-04-30,173.33,174.99,170,170.33,65930000
2024-04-29,173.37,176.03,173.1,173.5,64170000
2024-04-26,169.88,171.34,169.18,169.3,44840000
2024-04-25,169.53,170.61,168.15,169.89,50560000
2024-04-24,166.54,169.3,166.21,169.02,48250000
2024-04-23,165.35,167.05,164.92,166.9,49540000
2024-04-22,165.51,167.26,164.77,165.84,48120000
2024-04-19,166.21,166.4,164.07,165,68150000
2024-04-18,168.03,168.64,166.55,167.04,43120000
2024-04-17,169.61,170.65,168,168,50900000
2024-04-16,171.75,173.76,168.27,169.38,73710000
2024-04-15,175.36,176.63,172.5,172.69,73530000
2024-06-03,193.125448,195.413797,193.699509,193.244901,50979200
2024-06-04,196.730129,194.937281,196.996542,196.606467,61879750
2024-06-05,197.074808,193.884752,197.137741,197.282721,68117910
2024-06-06,200.715697,198.403224,196.625424,201.015101,47194180
2024-06-07,208.200523,206.609962,207.286034,208.174048,60198660
2024-06-10,207.471204,206.038542,205.734744,207.503894,59898140
2024-06-11,204.943472,207.270016,205.184853,204.670051,54353310
2024-06-12,205.809767,210.543083,206.574177,205.474393,63034000
2024-06-13,203.261313,205.267077,201.540028,203.575782,39465400
2024-06-14,203.610296,206.038273,205.423546,203.611806,52733690
2024-06-17,210.196975,212.730783,211.403431,210.364852,53771210
2024-06-18,208.123667,212.432325,208.89518,208.222924,56716560
2024-06-19,207.170867,207.631682,207.559348,207.10412,49479150
2024-06-20,212.084783,210.382731,212.281298,211.948263,51116320
2024-06-21,211.912638,211.466682,209.128784,212.355606,57579020
2024-06-24,216.884492,211.460948,217.191413,216.912655,53756640
2024-06-25,219.664713,217.805637,218.759811,219.806496,64988150
2024-06-26,222.304867,219.922991,222.915782,222.056728,58639920
2024-06-27,223.10268,221.656286,224.702496,222.929813,55039580
2024-06-28,222.916395,218.591433,223.75819,223.103856,52984110
